filename,number_of_people
12833.txt,3
12931.txt,4
13239.txt,4
13519.txt,3
13575.txt,3
13731.txt,3
13743.txt,5
16403.txt,3
1690.txt,3
20405.txt,3
26614.txt,11
27140.txt,80
27142.txt,3
27144.txt,3
27149.txt,5
27172.txt,3
27548.txt,3
27566.txt,3
27893.txt,4
28396.txt,3
28401.txt,7
28402.txt,3
28403.txt,3
28490.txt,3
28504.txt,3
28830.txt,6
28833.txt,6
28835.txt,4
28847.txt,3
31566.txt,4
31650.txt,4
32015.txt,3
32114.txt,3
32496.txt,5
32703.txt,2
33950.txt,4
34045.txt,2
34326.txt,7
34399.txt,5
34400.txt,3
34524.txt,10
34721.txt,4
4727.txt,3
5847.txt,2
628.txt,7
6881.txt,9
7193.txt,10
7194.txt,8
7408.txt,3
7538.txt,3
