filename,number_of_people
12833.txt,0
12931.txt,3
13239.txt,3
13519.txt,3
13575.txt,2
13731.txt,2
13743.txt,3330
16403.txt,1
1690.txt,3
26614.txt,8
27142.txt,3000
27149.txt,3
27172.txt,5
27548.txt,9
27566.txt,1
27893.txt,4
28396.txt,3
28401.txt,7
28402.txt,15
28403.txt,3
28490.txt,5
28504.txt,5
28830.txt,5
28833.txt,3
28835.txt,5
28847.txt,30
31566.txt,3
31650.txt,10
32015.txt,2879
32114.txt,3
32496.txt,50
32703.txt,3
33950.txt,21
34045.txt,2
34326.txt,3
34399.txt,3
34400.txt,2
34524.txt,2500
34721.txt,45
4727.txt,3
5847.txt,2
628.txt,7
6881.txt,5
7193.txt,11
7194.txt,3
7408.txt,3
7538.txt,2
